"","e141_R","e150_R","h1046_R","h1157","h2000_R","h968","h999","x107","x120","x138_R","e120_R","h754","h755","h761","x191_R","x23_R","x231_R","x265_R","x84","x95","e92","h640","h646","h737_R","h947","x129_R","x15","x156_R","x205","x74","h1197_R","h1205","h592","h655","h656","h905","h991","x197_R","x209_R","x242_R","e24","e30_R","e57","h2029","x133","x145","x181_R","x216_R","x251_R","x274_R","e64_R","h1281_R","h44_R","h470_R","h901","h948","h950","h954","h959","x79_R"
"e120_R",0.0884584790567162,0.0514583609754378,0.0415034538179961,0.0619923972366632,0.0568549673691989,0.0387613224205969,0.0466830474225337,0.0595710841348311,0.0710115702850866,0.0782376047938036,0,0.119418958672596,0.0591431370991962,0.10190645437599,0.0701335042867224,0.106459485321929,0.126368973925346,0.111822375794361,0.0666184420425084,0.092383828644659,0.107501667247508,0.0471656838168082,0.0262940975397385,0.0401368226851466,0.0285557015718574,0.0591075897980016,0.0380241946544047,0.0701262834542238,0.0170433737004991,0.0473681820013327,0.0224548588436266,0.0232644529714325,0.0226546806927934,0.0147827336307964,0.0221569703265141,0.0297193332762307,0.0309816142696415,0.0394797746756113,0.0345838098838351,0.0407607585840757,0.0549160199364112,0.0257535216054992,0.0511739996657306,0.0204376012617535,0.0278287387096081,0.0408910595338714,0.0428437364818355,0.0187687357181439,0.0323733812923357,0.0441146439343703,0.0667377811724328,0.0341781595880635,0.0373650662899889,0.0272839588059224,0.0226647570348675,0.0508574627950407,0.0449295762908823,0.0241393188012569,0.0326611396898771,0.0462971315109892
"h754",0.074053891511241,0.0310062094204833,0.0706359032100434,0.067352249062206,0.0563335931066939,0.0537633993242257,0.081645232133841,0.0693062916098204,0.0487232572190388,0.080104336067472,0.119418958672596,0,0.201222408245749,0.266021512104404,0.111192581788617,0.124157942017753,0.196487562237746,0.174250658636207,0.123237065046313,0.155949633995535,0.111666355368672,0.0812146205285766,0.050488893308295,0.0397732278649934,0.0452488929997359,0.0532234441363957,0.0552072636003564,0.0759809832516405,0.033911593928142,0.0607253337111988,0.0309149870201102,0.0359202811394397,0.0248998843050439,0.0165408121141395,0.0326624162228675,0.0393346736442943,0.036235377021796,0.026729341227663,0.0383409120886098,0.0364565923163935,0.0690536694431336,0.0204733987285435,0.0500771889128879,0.026664689296235,0.0287059756959911,0.0429562619071251,0.0461582833029541,0.0266387850318388,0.0381746248779726,0.0422686965202046,0.0259246913871856,0.0473895591389195,0.0390608241405297,0.0228008772015094,0.0270560008515943,0.060839624822151,0.0465120154926764,0.0403082599688127,0.0349775626981921,0.0365404463716641
"h755",0.048687027700534,0.0169006563662983,0.0693366390749484,0.0468739462469232,0.0535444590140495,0.0249018469695717,0.0340649082043245,0.0523459274738527,0.0440277804337401,0.0682444850192017,0.0591431370991962,0.201222408245749,0,0.153953743052374,0.0993527066799902,0.0908863003006855,0.169886141985808,0.117403704939774,0.0867064884283493,0.107685740180284,0.0602624696899845,0.0502066350169637,0.0420749485112881,0.0275434937738694,0.0311391553432769,0.034717070449187,0.0336965725724823,0.044129253394793,0.0173914173662011,0.048509504773699,0.0252280602202397,0.0385964928783173,0.0251553601456731,0.0195058362889036,0.0181029126432604,0.0457885446550623,0.0320091537404701,0.0307471811869053,0.0301774750310031,0.0217395976865422,0.0549874696784305,0.0176396501773559,0.0518577462684502,0.0293513300596593,0.0272452464132331,0.0307928613655095,0.0401018795385837,0.0297910886039423,0.0261874452435902,0.032844710890727,0.0445907231758702,0.043121315790025,0.0389288304749758,0.0237916408577425,0.0229786131543386,0.0568658573654739,0.076842242524314,0.0416819470472154,0.0439351128117447,0.0381965458397167
"h761",0.0475643665821202,0.0395785771424642,0.0925389848093201,0.078443204405529,0.0728863590148281,0.0322642818750758,0.0711897385579303,0.0812826144626926,0.0505547633110246,0.12412028773407,0.10190645437599,0.266021512104404,0.153953743052374,0,0.096698505955473,0.190809226589925,0.133487336180432,0.180350373156195,0.0813966676376743,0.149978410129656,0.0856877029866085,0.0675373209440382,0.061499106282723,0.0505017466287576,0.0423506170982733,0.0594353631974909,0.0385858630089833,0.0549004899367835,0.0404558481322987,0.0465264985829927,0.0406026005442812,0.0416248742834315,0.0331723539597983,0.0194748482515279,0.0481293640783163,0.0535549704648428,0.048961612132755,0.0414989004206405,0.036416139682248,0.0464080223417671,0.0713003294561889,0.0152460732251369,0.0410648620820893,0.0352636241434436,0.0251701534902073,0.0281465113614674,0.0307777443059685,0.0147695829466246,0.027389287817071,0.0494587511230762,0.0564045267220226,0.0501600506632141,0.0412778263236473,0.0386572252263697,0.0328652258276123,0.0633157794884238,0.0492375444331241,0.0447602293915348,0.0288281556831591,0.0381024808672796
"x191_R",0.059351744008064,0.0541023300848686,0.0646474831744777,0.0457113129613202,0.0513379576726418,0.0469016525581831,0.0454667267029949,0.126559294669865,0.0734050293883182,0.129924582461007,0.0701335042867224,0.111192581788617,0.0993527066799902,0.096698505955473,0,0.0973578024947139,0.130804631183885,0.138005867221461,0.0666250920085059,0.154267616703358,0.0832494815872384,0.0468538115730346,0.0599506158946106,0.0430154024299338,0.0280737716330268,0.0851883401585365,0.0554572842769954,0.0742149708675095,0.0547377622300504,0.0549758089022352,0.045754443489499,0.0331325040285022,0.0201243451067517,0.0257547632485995,0.0167363830633875,0.0308887582838131,0.0617365532373211,0.0625573469524223,0.0440526974022459,0.0653308206743142,0.0635223577511193,0.0271713674846694,0.0679055608784274,0.0151401289794473,0.0337237090274725,0.0339860705045409,0.0378976007589227,0.0351833749520201,0.0532943939654795,0.0427121120681528,0.117358732748037,0.101012564049652,0.0707959025654255,0.0621201050609601,0.0243237171809012,0.0926944264474434,0.0572441339274201,0.0476483305184567,0.0713717692015963,0.169749632523714
"x23_R",0.0610800566335703,0.0493625407644505,0.0725072842414143,0.0621584084805473,0.0456030010377035,0.0346909228422039,0.0528322565675041,0.0934525298330664,0.0644637000884725,0.156566850281885,0.106459485321929,0.124157942017753,0.0908863003006855,0.190809226589925,0.0973578024947139,0,0.151942642915418,0.187220823125394,0.0995386125761288,0.160253742981772,0.076299751460212,0.0520518617585668,0.0378556886427988,0.0265367972687085,0.0407388854238708,0.0545642654952214,0.0461953427064663,0.0800572404248738,0.0262678349212737,0.0779829091615372,0.0242040875853968,0.0226001583192015,0.0149103220659046,0.0218292171039551,0.0358089287910643,0.0373996304773949,0.0292709663483137,0.0595835363064241,0.0531085998252259,0.0460798540674578,0.0337600596128231,0.0345434217540679,0.0271613546934364,0.0209249838765677,0.0204856542094354,0.0438233058595237,0.0249141228284282,0.0106657335940743,0.0215776556133891,0.0373396518415929,0.07708355494603,0.0395950275720609,0.0346929107330851,0.0381038447511384,0.0210890025374315,0.0376020106268689,0.0305813710012357,0.0308147389212525,0.0523393622150818,0.0539193791881507
"x231_R",0.0863396331451862,0.0479161215287895,0.0544873439683435,0.0377916079932148,0.0546040310664835,0.0597126209931127,0.0393831749941356,0.145557897346745,0.0786885738081993,0.131725379582781,0.126368973925346,0.196487562237746,0.169886141985808,0.133487336180432,0.130804631183885,0.151942642915418,0,0.324622953451512,0.122493835333958,0.180911904965197,0.110016801245296,0.0519672520073011,0.0365636668153817,0.0308823098242819,0.0431408205690378,0.0708515134517218,0.0412906576213863,0.126497744508946,0.0246042693026283,0.0724606843726856,0.0151907180068638,0.0232605220132092,0.0142335965628728,0.0199803847239473,0.0406689650693055,0.0238765527718878,0.0298147249326712,0.0296133903099767,0.0342853402954471,0.0540548264341085,0.0452237293160542,0.0218375148125642,0.0474691781698962,0.0224189475969512,0.0298425661137403,0.0479498623907118,0.0514880543538467,0.0408606263968325,0.0659970335454285,0.0518262267199172,0.0570317022082936,0.0308086004564059,0.0349823628405428,0.0311806794035414,0.0266100924039256,0.0562994869439608,0.0425532410165519,0.0347284276976292,0.0410278475440533,0.0557007985661109
"x265_R",0.0843914165369246,0.0437767556724222,0.0760524928295578,0.0593261781774403,0.0538372938573168,0.0378740978795231,0.052656299235275,0.119601772794526,0.0901126069567022,0.146544636545063,0.111822375794361,0.174250658636207,0.117403704939774,0.180350373156195,0.138005867221461,0.187220823125394,0.324622953451512,0,0.11518425038796,0.181535010540388,0.114745912714403,0.0773479880800663,0.0442611112478621,0.0336873937124382,0.0440992062731138,0.0845567942232153,0.0444151907755344,0.130281257150928,0.0380059135549722,0.0840639325908654,0.0210798541465183,0.0351937321740565,0.0166847692007885,0.0134190979327764,0.0427342320797721,0.0272917762031075,0.0365935200773921,0.044420861591274,0.0575627434433263,0.0642622885505295,0.0558283448312253,0.0295391407571537,0.05150574497622,0.0226155976874396,0.017625019140453,0.0456331243795964,0.0503555125000692,0.0449711852393113,0.069156157072328,0.0692081374402478,0.0617672993894773,0.0467650156704487,0.0610710600254736,0.0467842270779224,0.0270147472327018,0.056295309948359,0.0443888293370818,0.0307679334815809,0.03605582029962,0.060038727515332
"x84",0.0633944668986968,0.0446983512615917,0.0438115802052597,0.048116708760614,0.0715305091747664,0.0573114122532976,0.121696450109371,0.112377534631367,0.0787012291000826,0.0750464999049982,0.0666184420425084,0.123237065046313,0.0867064884283493,0.0813966676376743,0.0666250920085059,0.0995386125761288,0.122493835333958,0.11518425038796,0,0.140490261449195,0.152215266162461,0.151568994922681,0.0626592825652406,0.050857771470211,0.0903950974440102,0.11096344403964,0.109150960577903,0.176032991685334,0.057881335335336,0.203759694597505,0.0381004390927426,0.0278491197381969,0.045920368856132,0.0267923792286786,0.0592349588101264,0.0547176401493781,0.0334185058754106,0.0420828634306551,0.0358498965469924,0.0430894706549045,0.0586562569780287,0.00468591745689695,0.0556154947834235,0.020587306079658,0.0385100420195741,0.0472840176324265,0.0521051810689959,0.0160215684276284,0.035697221565377,0.0563895732958044,0.0236854833877951,0.0558622136276314,0.0523412947634725,0.0228109090105115,0.028241444298978,0.0597802521140935,0.0351206631138496,0.0680902482166252,0.0472132073733889,0.0305633423435139
"x95",0.0853631926786993,0.0716124493881298,0.11130953487534,0.081619021020122,0.0599966357236328,0.0697457547648259,0.0723089130704277,0.217980692499389,0.15473329206152,0.186139633275911,0.092383828644659,0.155949633995535,0.107685740180284,0.149978410129656,0.154267616703358,0.160253742981772,0.180911904965197,0.181535010540388,0.140490261449195,0,0.116209317995763,0.0614017507328506,0.0666631542144955,0.05196238866868,0.0618004418133626,0.0831768833947817,0.0864750102873821,0.140607831916559,0.0648547723945141,0.15648985077316,0.0440823130218599,0.0265061198847141,0.0246717829183347,0.0249888513303809,0.0300531263655639,0.0688423326820717,0.0498577492764745,0.0360008623982631,0.034300866569672,0.0521453361884294,0.0589689616219129,0.0177372996572656,0.0633475938442896,0.0236054556109759,0.0351630318804697,0.062066726677434,0.0540048672188882,0.017117252796643,0.0529316565598394,0.036539650351239,0.0666527146656919,0.0531441714594139,0.0696826768634322,0.0311944403845623,0.066456584482967,0.0847878208264876,0.0662746516333659,0.06621593182166,0.0643792307892799,0.0966028238205614
"e92",0.10684755566941,0.0751522611022168,0.0661580540344264,0.0880894190630124,0.0519562332945678,0.057323133224267,0.0681336066354499,0.118954818099953,0.142507732078854,0.0824828108002462,0.107501667247508,0.111666355368672,0.0602624696899845,0.0856877029866085,0.0832494815872384,0.076299751460212,0.110016801245296,0.114745912714403,0.152215266162461,0.116209317995763,0,0.147453069463042,0.0805095052577718,0.0476064224688368,0.0983637383029108,0.0884474359352234,0.0989951203647199,0.202207676021924,0.103866193841379,0.164599055880116,0.0425915165706678,0.038960434166988,0.0443345766471053,0.0132307818467741,0.0481121272672325,0.0453410756011725,0.0639956781338573,0.0387098120896794,0.0566949550558364,0.0508410213104447,0.0700661106377165,0.0293477711905892,0.115561705888982,0.0146451105843908,0.0437318404425331,0.0593583412828513,0.0356451979668573,0.0356602612796344,0.0390472271357751,0.0327139075657326,0.0467305289171054,0.0410215515586172,0.0584356456966182,0.0252250833635044,0.0447180947532728,0.0675217947181213,0.0669933841413379,0.0732043759302741,0.0736602713085017,0.0607420038764563
"h640",0.0630017956961058,0.0436357985693561,0.0667793461265878,0.110922935546495,0.0746906482576914,0.112746143917532,0.138784478112272,0.110020068595697,0.0799849211352726,0.0462908375107975,0.0471656838168082,0.0812146205285766,0.0502066350169637,0.0675373209440382,0.0468538115730346,0.0520518617585668,0.0519672520073011,0.0773479880800663,0.151568994922681,0.0614017507328506,0.147453069463042,0,0.121121087591169,0.0843270764570021,0.132737854911388,0.100067906450273,0.116214714053621,0.200743664907025,0.0831066816261994,0.247430872014204,0.0485092474991684,0.0506383309966885,0.0510565170363262,0.0494940859124653,0.0631306027620133,0.0726244882980822,0.0836467547344073,0.0309483802272452,0.0411510132380872,0.035619558575215,0.0785164372657645,0.0246957905690679,0.075187855861476,0.0242231114238947,0.0578562313629414,0.0715779004573029,0.0488383145467099,0.0306116065888316,0.05268130593053,0.0438216542496317,0.0313490168946027,0.0740383875970578,0.086824526812221,0.0383358151670081,0.0722047526305643,0.081167215510014,0.0849068040442478,0.0992316948645375,0.0886358616817775,0.0394867390189497
"h646",0.0492963761301719,0.0410325258515374,0.053603033666322,0.0583920871664194,0.0513889666291196,0.100392372858882,0.0899924196305526,0.0585190449757618,0.045544679223021,0.0279556977509428,0.0262940975397385,0.050488893308295,0.0420749485112881,0.061499106282723,0.0599506158946106,0.0378556886427988,0.0365636668153817,0.0442611112478621,0.0626592825652406,0.0666631542144955,0.0805095052577718,0.121121087591169,0,0.179599582187612,0.108394697713264,0.176463153351955,0.212782413219132,0.126428454470628,0.109124087231842,0.125439876361637,0.102461457475584,0.0768112792648705,0.0763488816998072,0.0827396962898508,0.0439558769314821,0.0982000857205554,0.136905623589295,0.0468965673626158,0.0545774376376542,0.0605832725191626,0.0597138085635343,0.018203499709518,0.0514710953542665,0.0152463747555789,0.0334906251138078,0.0442141311013735,0.0373020941643638,0.0229654201868423,0.0369111244026379,0.034605357359982,0.0347776048544621,0.093843003934321,0.0701159047441178,0.0704055196721631,0.0697489235977127,0.0765792768296056,0.0598129804545864,0.144879211991172,0.0867335482320235,0.0317880488296773
"h737_R",0.061322489526126,0.0411792984722572,0.0408244140179761,0.041812031740899,0.0696941584966866,0.0489420694745393,0.0623809063718443,0.0629438417642612,0.0485839075062762,0.0405299202159068,0.0401368226851466,0.0397732278649934,0.0275434937738694,0.0505017466287576,0.0430154024299338,0.0265367972687085,0.0308823098242819,0.0336873937124382,0.050857771470211,0.05196238866868,0.0476064224688368,0.0843270764570021,0.179599582187612,0,0.0655807682638909,0.117176524687745,0.110051880346916,0.098325290256188,0.0633708563800255,0.103156664622547,0.0415500531282333,0.0308058202367012,0.0455863222553177,0.068882207136395,0.0406268114641306,0.056373412654668,0.0773437108907649,0.0483276076957635,0.0443589368474271,0.0495842797448343,0.0490120014972182,0.021633404590498,0.0327311514382735,0.0324200485252089,0.036673773086016,0.0264466348682699,0.0315301443016418,0.0257146309135492,0.0345424546374749,0.031298457029262,0.0447139371068546,0.079700941639536,0.0600210807442725,0.053617039682857,0.0469098284160241,0.0514931122668081,0.0356155276770593,0.092466275955204,0.0717943919629893,0.0521992363106532
"h947",0.0419063381756728,0.033689742286704,0.0418374114911768,0.0578018155667301,0.0543294531140832,0.094365820017825,0.116597020802772,0.0783945302302533,0.0692063643320844,0.0480715134461289,0.0285557015718574,0.0452488929997359,0.0311391553432769,0.0423506170982733,0.0280737716330268,0.0407388854238708,0.0431408205690378,0.0440992062731138,0.0903950974440102,0.0618004418133626,0.0983637383029108,0.132737854911388,0.108394697713264,0.0655807682638909,0,0.0694704629280345,0.137941101838639,0.10290525945433,0.0869844603858034,0.142704143162889,0.0560048811425604,0.0407753010687162,0.04637879966702,0.034556177188616,0.0363378505401921,0.0676415980592657,0.0794355861096312,0.0250044979735038,0.0238044858302295,0.0208343673835878,0.0329165182917657,0.0138598690528524,0.0508733889535962,0.0158076948126866,0.0330567478026245,0.0425687223236109,0.0339939876997906,0.0230138616326347,0.0230416929449069,0.0357602863563242,0.0321933755711323,0.07081351411734,0.0535882874015279,0.0379473146166429,0.0641929248403166,0.0881985721307785,0.0443688998263099,0.14121309982313,0.0689332595602079,0.0420584917292164
